Channel,No,IDS,Fr_date,to_date,LINK
Astro_Sports_Plus,817,542,28-Apr-25,4-May-25,https://contenthub-api.eco.astro.com.my/channel/542.json
Home_Of_Kids,100,573,6-Jan-25,12-Jan-25,https://contenthub-api.eco.astro.com.my/channel/573.json
Sun_News,215,478,28-Apr-25,4-May-25,https://contenthub-api.eco.astro.com.my/channel/478.json
Sun_Life,217,476,28-Apr-25,4-May-25,https://contenthub-api.eco.astro.com.my/channel/476.json
Blippi_&_Friends,619,566,28-Apr-25,4-May-25,https://contenthub-api.eco.astro.com.my/channel/566.json
ARENA_BOLA_3,807,534,,,https://contenthub-api.eco.astro.com.my/channel/534.json
ARENA_BOLA_4,808,535,,,https://contenthub-api.eco.astro.com.my/channel/535.json
Astro_Premier_League_4,818,568,,,https://contenthub-api.eco.astro.com.my/channel/568.json
Jom_Ngaji,130,527,21-Apr-25,27-Apr-25,https://contenthub-api.eco.astro.com.my/channel/527.json
Filem_Mantap,131,510,21-Apr-25,27-Apr-25,https://contenthub-api.eco.astro.com.my/channel/510.json
Drama_Hebat,132,509,21-Apr-25,27-Apr-25,https://contenthub-api.eco.astro.com.my/channel/509.json
Drama_Hotpot,133,512,21-Apr-25,27-Apr-25,https://contenthub-api.eco.astro.com.my/channel/512.json
Filem_Mantap,134,511,21-Apr-25,27-Apr-25,https://contenthub-api.eco.astro.com.my/channel/511.json
Travel_&_Taste,135,513,21-Apr-25,27-Apr-25,https://contenthub-api.eco.astro.com.my/channel/513.json
Oh_My_Ceria,136,528,21-Apr-25,27-Apr-25,https://contenthub-api.eco.astro.com.my/channel/528.json
Astro_Sports_Plus_2,809,280,28-Apr-25,4-May-25,https://contenthub-api.eco.astro.com.my/channel/280.json
